"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"76" 1 1 1 0.998 1 0.996 "GSM1162998" "IFNGR_OFF" 0
"77" 1 1 1 0.995 1 0.991 "GSM1162998" "IFNAR_OFF" 0
"78" 1 1 1 0 1 0 "GSM1162998" "TNFRSF1A_OFF" 0
"79" 1 1 1 0.995 1 0.994 "GSM1162998" "IL6R_OFF" 0
"80" 1 1 1 0.995 1 0.991 "GSM1162998" "IL36R_OFF" 0
"81" 1 1 1 0 1 0 "GSM1315753" "IL17R_OFF" 0
"82" 1 1 1 0.817 1 0.817 "GSM1315753" "IL22R_OFF" 0
"83" 1 1 1 0.824 1 0.823 "GSM1315753" "IL1R1_OFF" 0
"84" 1 1 1 0.793 1 0.797 "GSM1315753" "IFNGR_OFF" 0
"85" 1 1 1 0.806 1 0.806 "GSM1315753" "IFNAR_OFF" 0
"86" 1 1 1 0 1 0 "GSM1315753" "TNFRSF1A_OFF" 0
"87" 1 1 1 0.815 1 0.81 "GSM1315753" "IL6R_OFF" 0
"88" 1 1 1 0.806 1 0.806 "GSM1315753" "IL36R_OFF" 0
"89" 1 0.997 0.958 0 0.78 0 "GSM2211701" "IL17R_OFF" 0
"90" 1 1 0.983 0.722 0.789 0.544 "GSM2211701" "IL22R_OFF" 0
"91" 1 0.999 0.986 0.744 0.766 0.588558 "GSM2211701" "IL1R1_OFF" 0
"92" 1 1 0.904 0.713 0.76 0.533 "GSM2211701" "IFNGR_OFF" 0
"93" 1 0.999 0.984 0.747 0.777 0.588 "GSM2211701" "IFNAR_OFF" 0
"94" 1 0.999 0.947 0 0.771 0 "GSM2211701" "TNFRSF1A_OFF" 0
"95" 1 1 0.987 0.734 0.782 0.558586 "GSM2211701" "IL6R_OFF" 0
"96" 1 0.999 0.984 0.747 0.777 0.588 "GSM2211701" "IL36R_OFF" 0
"97" 1 1 1 0 1 0 "GSM2211704" "IL17R_OFF" 0
"98" 1 1 1 0.97 1 0.955 "GSM2211704" "IL22R_OFF" 0
"99" 1 1 1 0.968 1 0.956 "GSM2211704" "IL1R1_OFF" 0
"100" 1 1 1 0.97 1 0.96 "GSM2211704" "IFNGR_OFF" 0
"101" 1 1 1 0.964 1 0.951 "GSM2211704" "IFNAR_OFF" 0
"102" 1 1 1 0 1 0 "GSM2211704" "TNFRSF1A_OFF" 0
"103" 1 1 1 0.969 1 0.961 "GSM2211704" "IL6R_OFF" 0
"104" 1 1 1 0.964 1 0.951 "GSM2211704" "IL36R_OFF" 0
"105" 1 1 1 0 1 0 "GSM1315752" "IL17R_OFF" 0
"106" 1 1 1 1 1 1 "GSM1315752" "IL22R_OFF" 0
"107" 1 1 1 1 1 1 "GSM1315752" "IL1R1_OFF" 0
"108" 1 1 1 1 1 1 "GSM1315752" "IFNGR_OFF" 0
"109" 1 1 1 1 1 1 "GSM1315752" "IFNAR_OFF" 0
"110" 1 1 1 0 1 0 "GSM1315752" "TNFRSF1A_OFF" 0
"111" 1 1 1 1 1 1 "GSM1315752" "IL6R_OFF" 0
"112" 1 1 1 1 1 1 "GSM1315752" "IL36R_OFF" 0
"113" 1 0.999 1 0.206 1 0.19 "GSM3293913" "IL17R_OFF" 0.003
"114" 1 1 1 0.342 1 0.322 "GSM3293913" "IL22R_OFF" 0
"115" 1 1 1 0.381 1 0.352 "GSM3293913" "IL1R1_OFF" 0
"116" 1 1 1 0.339 0.991 0.319 "GSM3293913" "IFNGR_OFF" 0.001
"117" 1 1 1 0.381 1 0.352 "GSM3293913" "IFNAR_OFF" 0
"118" 1 1 1 0 1 0 "GSM3293913" "TNFRSF1A_OFF" 0.001
"119" 1 1 1 0.34 1 0.33 "GSM3293913" "IL6R_OFF" 0.003
"120" 1 1 1 0.381 1 0.352 "GSM3293913" "IL36R_OFF" 0
"121" 1 1 1 0.198 1 0.198 "GSM1315640" "IL17R_OFF" 0.232
"122" 1 1 1 0.825 1 0.824 "GSM1315640" "IL22R_OFF" 0.243
"123" 1 1 1 0.831 1 0.829 "GSM1315640" "IL1R1_OFF" 0.25
"124" 1 1 1 0.823 0.992 0.822 "GSM1315640" "IFNGR_OFF" 0.242
"125" 1 1 1 0.83 1 0.828 "GSM1315640" "IFNAR_OFF" 0.253
"126" 1 1 1 0 1 0 "GSM1315640" "TNFRSF1A_OFF" 0.253
"127" 1 1 1 0.814 1 0.814 "GSM1315640" "IL6R_OFF" 0.243
"128" 1 1 1 0.83 1 0.828 "GSM1315640" "IL36R_OFF" 0.253
"129" 1 0.972 0.975 0 0.998 0 "GSM3293897" "IL17R_OFF" 0
"130" 1 0.991 0.989 0.713 0.999 0.281 "GSM3293897" "IL22R_OFF" 0
"131" 1 0.991 0.997 0.719 0.998 0.262 "GSM3293897" "IL1R1_OFF" 0
"132" 1 0.993 0.957 0.718 0.998 0.297 "GSM3293897" "IFNGR_OFF" 0
"133" 1 0.984 0.991 0.715 1 0.284 "GSM3293897" "IFNAR_OFF" 0
"134" 1 0.99 0.981 0.001 0.998 0.001 "GSM3293897" "TNFRSF1A_OFF" 0
"135" 1 0.979 0.991 0.729 0.998 0.268388 "GSM3293897" "IL6R_OFF" 0
"136" 1 0.984 0.991 0.715 1 0.284 "GSM3293897" "IL36R_OFF" 0
"137" 1 1 1 0 1 0 "GSM1656070" "IL17R_OFF" 0
"138" 1 1 1 1 1 1 "GSM1656070" "IL22R_OFF" 0
"139" 1 1 1 1 1 1 "GSM1656070" "IL1R1_OFF" 0
"140" 1 1 1 1 1 1 "GSM1656070" "IFNGR_OFF" 0
"141" 1 1 1 1 1 1 "GSM1656070" "IFNAR_OFF" 0
"142" 1 1 1 0 1 0 "GSM1656070" "TNFRSF1A_OFF" 0
"143" 1 1 1 1 1 1 "GSM1656070" "IL6R_OFF" 0
"144" 1 1 1 1 1 1 "GSM1656070" "IL36R_OFF" 0
"145" 1 0.816 0.999 0 0.695 0 "GSM2882408" "IL17R_OFF" 0
"146" 1 0.899 1 0.921 0.701 0.475 "GSM2882408" "IL22R_OFF" 0
"147" 1 0.891 1 0.917 0.684935 0.456 "GSM2882408" "IL1R1_OFF" 0
"148" 1 0.911 0.998 0.903 0.668 0.463 "GSM2882408" "IFNGR_OFF" 0
"149" 1 0.9 1 0.927 0.685 0.463 "GSM2882408" "IFNAR_OFF" 0
"150" 1 0.883 1 0 0.679305 0 "GSM2882408" "TNFRSF1A_OFF" 0
"151" 1 0.885 1 0.908 0.716 0.462 "GSM2882408" "IL6R_OFF" 0
"152" 1 0.9 1 0.927 0.685 0.463 "GSM2882408" "IL36R_OFF" 0
"153" 1 1 1 0 1 0 "GSM1315633" "IL17R_OFF" 0
"154" 1 1 1 0.661 1 0.564 "GSM1315633" "IL22R_OFF" 0
"155" 1 1 1 0.653 1 0.59 "GSM1315633" "IL1R1_OFF" 0
"156" 1 1 1 0.656 1 0.585 "GSM1315633" "IFNGR_OFF" 0
"157" 1 1 1 0.621 1 0.536 "GSM1315633" "IFNAR_OFF" 0
"158" 1 1 1 0 1 0 "GSM1315633" "TNFRSF1A_OFF" 0
"159" 1 1 1 0.638 1 0.551 "GSM1315633" "IL6R_OFF" 0
