"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"326" 1 1 1 0.004 1 0.004 "GSM1315670" "TNFRSF1A_OFF" 0
"327" 1 1 1 0.998 1 0.964 "GSM1315670" "IL6R_OFF" 0
"328" 1 1 1 0.995 1 0.976 "GSM1315670" "IL36R_OFF" 0
"329" 1 1 1 0.095 1 0.093 "GSM1561616" "IL17R_OFF" 0.344
"330" 1 1 1 0.172 1 0.173 "GSM1561616" "IL22R_OFF" 0.346
"331" 1 1 1 0.197932 1 0.201 "GSM1561616" "IL1R1_OFF" 0.35
"332" 1 1 1 0.187 0.758 0.188 "GSM1561616" "IFNGR_OFF" 0.355
"333" 1 1 1 0.18 1 0.18 "GSM1561616" "IFNAR_OFF" 0.343
"334" 1 1 1 0.023 1 0.023 "GSM1561616" "TNFRSF1A_OFF" 0.373
"335" 1 1 1 0.192 1 0.189 "GSM1561616" "IL6R_OFF" 0.335
"336" 1 1 1 0.18 1 0.18 "GSM1561616" "IL36R_OFF" 0.343
"337" 1 1 1 0.181 0.993 0.178 "GSM1315688" "IL17R_OFF" 0.003
"338" 1 1 1 0.934 0.995 0.934 "GSM1315688" "IL22R_OFF" 0.002
"339" 1 1 1 0.923 0.997 0.921 "GSM1315688" "IL1R1_OFF" 0.003
"340" 1 1 1 0.932 0.994 0.929 "GSM1315688" "IFNGR_OFF" 0.002
"341" 1 1 1 0.922 0.996 0.921 "GSM1315688" "IFNAR_OFF" 0.003
"342" 1 1 1 0 0.989 0 "GSM1315688" "TNFRSF1A_OFF" 0.001
"343" 1 1 1 0.922 0.994 0.923 "GSM1315688" "IL6R_OFF" 0.003
"344" 1 1 1 0.922 0.996 0.921 "GSM1315688" "IL36R_OFF" 0.003
"345" 1 1 1 0.186 1 0.184 "GSM1315789" "IL17R_OFF" 0
"346" 1 1 1 0.617 1 0.619 "GSM1315789" "IL22R_OFF" 0
"347" 1 1 1 0.617765 1 0.621 "GSM1315789" "IL1R1_OFF" 0
"348" 1 1 1 0.597 1 0.595 "GSM1315789" "IFNGR_OFF" 0
"349" 1 1 1 0.619 1 0.621 "GSM1315789" "IFNAR_OFF" 0
"350" 1 1 1 0.055 1 0.057 "GSM1315789" "TNFRSF1A_OFF" 0
"351" 1 1 1 0.586 1 0.588 "GSM1315789" "IL6R_OFF" 0
"352" 1 1 1 0.619 1 0.621 "GSM1315789" "IL36R_OFF" 0
"353" 1 1 1 0 1 0 "GSM3293920" "IL17R_OFF" 0.005
"354" 1 1 1 0.723 1 0.716 "GSM3293920" "IL22R_OFF" 0.007
"355" 1 1 1 0.736 1 0.723 "GSM3293920" "IL1R1_OFF" 0.004
"356" 1 1 1 0.703 1 0.694 "GSM3293920" "IFNGR_OFF" 0.007
"357" 1 1 1 0.697 1 0.677 "GSM3293920" "IFNAR_OFF" 0.003
"358" 1 1 1 0 1 0 "GSM3293920" "TNFRSF1A_OFF" 0.006
"359" 1 1 1 0.708 1 0.695 "GSM3293920" "IL6R_OFF" 0.003
"360" 1 1 1 0.697 1 0.677 "GSM3293920" "IL36R_OFF" 0.003
"361" 1 1 1 0.133 1 0.133 "GSM1315641" "IL17R_OFF" 0.001
"362" 1 1 1 0.999 1 0.999 "GSM1315641" "IL22R_OFF" 0
"363" 1 1 1 0.999 1 0.999 "GSM1315641" "IL1R1_OFF" 0
"364" 1 1 1 1 1 1 "GSM1315641" "IFNGR_OFF" 0
"365" 1 1 1 0.999 1 0.999 "GSM1315641" "IFNAR_OFF" 0.001
"366" 1 1 1 0 1 0 "GSM1315641" "TNFRSF1A_OFF" 0.001
"367" 1 1 1 1 1 1 "GSM1315641" "IL6R_OFF" 0.001
"368" 1 1 1 0.999 1 0.999 "GSM1315641" "IL36R_OFF" 0.001
"369" 1 1 1 0 1 0 "GSM1315775" "IL17R_OFF" 0
"370" 1 1 1 0.999027 1 1 "GSM1315775" "IL22R_OFF" 0
"371" 1 1 1 1 1 0.999 "GSM1315775" "IL1R1_OFF" 0
"372" 1 1 1 0.999 1 0.999 "GSM1315775" "IFNGR_OFF" 0
"373" 1 1 1 1 1 0.999 "GSM1315775" "IFNAR_OFF" 0
"374" 1 1 1 0 1 0 "GSM1315775" "TNFRSF1A_OFF" 0
"375" 1 1 1 1 1 1 "GSM1315775" "IL6R_OFF" 0
"376" 1 1 1 1 1 0.999 "GSM1315775" "IL36R_OFF" 0
"377" 1 1 0.996 0 0.772 0 "GSM1656076" "IL17R_OFF" 0
"378" 1 1 1 0.622997 0.78 0.53 "GSM1656076" "IL22R_OFF" 0
"379" 1 1 0.999 0.623 0.786 0.554 "GSM1656076" "IL1R1_OFF" 0
"380" 1 1 0.973 0.642 0.73 0.565 "GSM1656076" "IFNGR_OFF" 0
"381" 1 1 0.999 0.628 0.799 0.548 "GSM1656076" "IFNAR_OFF" 0
"382" 1 1 0.997 0.009 0.781 0.007 "GSM1656076" "TNFRSF1A_OFF" 0
"383" 1 1 0.999 0.63 0.778 0.545 "GSM1656076" "IL6R_OFF" 0
"384" 1 1 0.999 0.628 0.799 0.548 "GSM1656076" "IL36R_OFF" 0
"385" 1 1 1 0 1 0 "GSM1315700" "IL17R_OFF" 0
"386" 1 1 1 0.896 1 0.897 "GSM1315700" "IL22R_OFF" 0
"387" 1 1 1 0.896 1 0.9 "GSM1315700" "IL1R1_OFF" 0
"388" 1 1 1 0.909 1 0.913 "GSM1315700" "IFNGR_OFF" 0
"389" 1 1 1 0.906 1 0.908 "GSM1315700" "IFNAR_OFF" 0
"390" 1 1 1 0 1 0 "GSM1315700" "TNFRSF1A_OFF" 0
"391" 1 1 1 0.922 1 0.922 "GSM1315700" "IL6R_OFF" 0
"392" 1 1 1 0.906 1 0.908 "GSM1315700" "IL36R_OFF" 0
"393" 1 1 1 0 1 0 "GSM3293910" "IL17R_OFF" 0
"394" 1 1 1 0.934 1 0.931 "GSM3293910" "IL22R_OFF" 0
"395" 1 1 1 0.932 1 0.931 "GSM3293910" "IL1R1_OFF" 0
"396" 1 1 1 0.934 1 0.933 "GSM3293910" "IFNGR_OFF" 0
"397" 1 1 1 0.936 1 0.934 "GSM3293910" "IFNAR_OFF" 0
"398" 1 1 1 0 1 0 "GSM3293910" "TNFRSF1A_OFF" 0
"399" 1 1 1 0.943 1 0.943 "GSM3293910" "IL6R_OFF" 0
"400" 1 1 1 0.936 1 0.934 "GSM3293910" "IL36R_OFF" 0
"401" 1 1 1 0 1 0 "GSM1656054" "IL17R_OFF" 0
"402" 1 1 1 1 1 1 "GSM1656054" "IL22R_OFF" 0
"403" 1 1 1 1 1 1 "GSM1656054" "IL1R1_OFF" 0
"404" 1 1 1 1 1 1 "GSM1656054" "IFNGR_OFF" 0
"405" 1 1 1 1 1 1 "GSM1656054" "IFNAR_OFF" 0
"406" 1 1 1 0 1 0 "GSM1656054" "TNFRSF1A_OFF" 0
"407" 1 1 1 1 1 1 "GSM1656054" "IL6R_OFF" 0
"408" 1 1 1 1 1 1 "GSM1656054" "IL36R_OFF" 0
"409" 1 1 1 0.188 1 0.187 "GSM1315673" "IL17R_OFF" 0
"410" 1 1 1 0.996 1 0.996 "GSM1315673" "IL22R_OFF" 0
"411" 1 1 1 0.996 1 0.995 "GSM1315673" "IL1R1_OFF" 0
"412" 1 1 1 0.995 1 0.996 "GSM1315673" "IFNGR_OFF" 0
"413" 1 1 1 0.996 1 0.995 "GSM1315673" "IFNAR_OFF" 0
"414" 1 1 1 0 1 0 "GSM1315673" "TNFRSF1A_OFF" 0
"415" 1 1 1 0.994 1 0.994 "GSM1315673" "IL6R_OFF" 0
"416" 1 1 1 0.996 1 0.995 "GSM1315673" "IL36R_OFF" 0
"417" 1 1 1 0.009 1 0.008 "GSM1315609" "IL17R_OFF" 0
"418" 1 1 1 0.232 1 0.228 "GSM1315609" "IL22R_OFF" 0
"419" 1 1 1 0.229 1 0.226 "GSM1315609" "IL1R1_OFF" 0
"420" 1 1 1 0.233 1 0.229 "GSM1315609" "IFNGR_OFF" 0
"421" 1 1 1 0.232 1 0.23 "GSM1315609" "IFNAR_OFF" 0
"422" 1 1 1 0.017 1 0.017 "GSM1315609" "TNFRSF1A_OFF" 0
"423" 1 1 1 0.243 1 0.241 "GSM1315609" "IL6R_OFF" 0
"424" 1 1 1 0.232 1 0.23 "GSM1315609" "IL36R_OFF" 0
"425" 1 1 1 0 0.915 0 "GSM3293918" "IL17R_OFF" 0
"426" 1 1 1 0.365 0.917 0.281 "GSM3293918" "IL22R_OFF" 0
"427" 1 1 1 0.371 0.909 0.283 "GSM3293918" "IL1R1_OFF" 0
"428" 1 1 0.998 0.381 0.909 0.292 "GSM3293918" "IFNGR_OFF" 0
"429" 1 1 1 0.352 0.903 0.272 "GSM3293918" "IFNAR_OFF" 0
"430" 1 1 1 0 0.908 0 "GSM3293918" "TNFRSF1A_OFF" 0
"431" 1 1 1 0.354 0.903 0.271 "GSM3293918" "IL6R_OFF" 0
"432" 1 1 1 0.352 0.903 0.272 "GSM3293918" "IL36R_OFF" 0
"433" 1 1 1 0.022 1 0.022 "GSM1163006" "IL17R_OFF" 0
"434" 1 1 1 1 1 1 "GSM1163006" "IL22R_OFF" 0
"435" 1 1 1 1 1 1 "GSM1163006" "IL1R1_OFF" 0
"436" 1 1 1 1 1 1 "GSM1163006" "IFNGR_OFF" 0
"437" 1 1 1 1 1 1 "GSM1163006" "IFNAR_OFF" 0
"438" 1 1 1 0 1 0 "GSM1163006" "TNFRSF1A_OFF" 0
"439" 1 1 1 1 1 1 "GSM1163006" "IL6R_OFF" 0
"440" 1 1 1 1 1 1 "GSM1163006" "IL36R_OFF" 0
"441" 1 1 1 0.033 1 0.034 "GSM2211706" "IL17R_OFF" 0
"442" 1 1 1 1 1 1 "GSM2211706" "IL22R_OFF" 0
"443" 1 1 1 1 1 1 "GSM2211706" "IL1R1_OFF" 0
"444" 1 1 1 1 1 1 "GSM2211706" "IFNGR_OFF" 0
"445" 1 1 1 1 1 1 "GSM2211706" "IFNAR_OFF" 0
"446" 1 1 1 0 1 0 "GSM2211706" "TNFRSF1A_OFF" 0
"447" 1 1 1 1 1 1 "GSM2211706" "IL6R_OFF" 0
"448" 1 1 1 1 1 1 "GSM2211706" "IL36R_OFF" 0
"449" 1 1 1 0.001 1 0.002 "GSM1315638" "IL17R_OFF" 0
"450" 1 1 1 0.964 1 0.964 "GSM1315638" "IL22R_OFF" 0
"451" 1 1 1 0.968 1 0.964 "GSM1315638" "IL1R1_OFF" 0
"452" 1 1 1 0.975 1 0.973 "GSM1315638" "IFNGR_OFF" 0
"453" 1 1 1 0.962 1 0.961 "GSM1315638" "IFNAR_OFF" 0
"454" 1 1 1 0 1 0 "GSM1315638" "TNFRSF1A_OFF" 0
"455" 1 1 1 0.973 1 0.972 "GSM1315638" "IL6R_OFF" 0
"456" 1 1 1 0.962 1 0.961 "GSM1315638" "IL36R_OFF" 0
"457" 1 1 1 0.259 1 0.255 "GSM1315627" "IL17R_OFF" 0.267
"458" 1 1 1 0.304 1 0.307 "GSM1315627" "IL22R_OFF" 0.288
"459" 1 1 1 0.296 1 0.297 "GSM1315627" "IL1R1_OFF" 0.296
"460" 1 1 1 0.326 1 0.317 "GSM1315627" "IFNGR_OFF" 0.276
"461" 1 1 1 0.312 1 0.311 "GSM1315627" "IFNAR_OFF" 0.277
"462" 1 1 1 0 1 0 "GSM1315627" "TNFRSF1A_OFF" 0.28
"463" 1 1 1 0.305 1 0.298 "GSM1315627" "IL6R_OFF" 0.283
"464" 1 1 1 0.312 1 0.311 "GSM1315627" "IL36R_OFF" 0.277
"465" 1 1 1 0 1 0 "GSM1315764" "IL17R_OFF" 0
"466" 1 1 1 0.999 1 0.999 "GSM1315764" "IL22R_OFF" 0
"467" 1 1 1 0.997 1 0.997 "GSM1315764" "IL1R1_OFF" 0
"468" 1 1 1 1 1 1 "GSM1315764" "IFNGR_OFF" 0
"469" 1 1 1 0.997 1 0.997 "GSM1315764" "IFNAR_OFF" 0
"470" 1 1 1 0 1 0 "GSM1315764" "TNFRSF1A_OFF" 0
"471" 1 1 1 1 1 1 "GSM1315764" "IL6R_OFF" 0
"472" 1 1 1 0.997 1 0.997 "GSM1315764" "IL36R_OFF" 0
"473" 1 1 1 0.045 1 0.045 "GSM1561651" "IL17R_OFF" 0.353
"474" 1 1 1 0.078 1 0.078 "GSM1561651" "IL22R_OFF" 0.339
"475" 1 1 1 0.079 1 0.075 "GSM1561651" "IL1R1_OFF" 0.316
"476" 1 1 1 0.083 0.844 0.083 "GSM1561651" "IFNGR_OFF" 0.283
"477" 1 1 1 0.085 1 0.081 "GSM1561651" "IFNAR_OFF" 0.316
"478" 1 1 1 0 1 0 "GSM1561651" "TNFRSF1A_OFF" 0.314016
"479" 1 1 1 0.071 1 0.071 "GSM1561651" "IL6R_OFF" 0.307
"480" 1 1 1 0.085 1 0.081 "GSM1561651" "IL36R_OFF" 0.316
"481" 1 1 1 0.363 1 0.36 "GSM1315617" "IL17R_OFF" 0.283
"482" 1 1 1 0.538345 1 0.533 "GSM1315617" "IL22R_OFF" 0.279374
"483" 1 1 1 0.578 1 0.58 "GSM1315617" "IL1R1_OFF" 0.249
"484" 1 1 1 0.541 0.995 0.542 "GSM1315617" "IFNGR_OFF" 0.265
"485" 1 1 1 0.556 1 0.559 "GSM1315617" "IFNAR_OFF" 0.237
"486" 1 1 1 0 1 0 "GSM1315617" "TNFRSF1A_OFF" 0.277
"487" 1 1 1 0.561 1 0.559 "GSM1315617" "IL6R_OFF" 0.267
"488" 1 1 1 0.556 1 0.559 "GSM1315617" "IL36R_OFF" 0.237
"489" 1 1 1 0 1 0 "GSM2211692" "IL17R_OFF" 0
"490" 1 1 1 0.949 1 0.949 "GSM2211692" "IL22R_OFF" 0
"491" 1 1 1 0.941 1 0.941 "GSM2211692" "IL1R1_OFF" 0
"492" 1 1 1 0.945 1 0.945 "GSM2211692" "IFNGR_OFF" 0
"493" 1 1 1 0.936 1 0.938 "GSM2211692" "IFNAR_OFF" 0
"494" 1 1 1 0 1 0 "GSM2211692" "TNFRSF1A_OFF" 0
"495" 1 1 1 0.944 1 0.944 "GSM2211692" "IL6R_OFF" 0
"496" 1 1 1 0.936 1 0.938 "GSM2211692" "IL36R_OFF" 0
"497" 1 0.982 0.999 0 0.887 0 "GSM1315650" "IL17R_OFF" 0
"498" 1 0.991 1 1 0.853 0.467 "GSM1315650" "IL22R_OFF" 0
"499" 1 0.99 1 0.999 0.862 0.45 "GSM1315650" "IL1R1_OFF" 0
"500" 1 0.989 0.955 1 0.88 0.486 "GSM1315650" "IFNGR_OFF" 0
"501" 1 0.995 1 0.999 0.859 0.462 "GSM1315650" "IFNAR_OFF" 0
"502" 1 0.978 1 0 0.86 0 "GSM1315650" "TNFRSF1A_OFF" 0
"503" 1 0.989 1 1 0.885 0.473 "GSM1315650" "IL6R_OFF" 0
"504" 1 0.995 1 0.999 0.859 0.462 "GSM1315650" "IL36R_OFF" 0
"505" 1 1 1 0.088 1 0.088 "GSM1315686" "IL17R_OFF" 0
"506" 1 1 1 1 1 1 "GSM1315686" "IL22R_OFF" 0
"507" 1 1 1 1 1 1 "GSM1315686" "IL1R1_OFF" 0
"508" 1 1 1 1 1 1 "GSM1315686" "IFNGR_OFF" 0
"509" 1 1 1 1 1 1 "GSM1315686" "IFNAR_OFF" 0
"510" 1 1 1 0.003 1 0.003 "GSM1315686" "TNFRSF1A_OFF" 0
"511" 1 1 1 1 1 1 "GSM1315686" "IL6R_OFF" 0
"512" 1 1 1 1 1 1 "GSM1315686" "IL36R_OFF" 0
"513" 1 1 1 0 1 0 "GSM3293909" "IL17R_OFF" 0
"514" 1 1 1 0.925 1 0.927 "GSM3293909" "IL22R_OFF" 0
"515" 1 1 1 0.912 1 0.911 "GSM3293909" "IL1R1_OFF" 0
"516" 1 1 1 0.942 1 0.942 "GSM3293909" "IFNGR_OFF" 0
"517" 1 1 1 0.917 1 0.916 "GSM3293909" "IFNAR_OFF" 0
"518" 1 1 1 0 1 0 "GSM3293909" "TNFRSF1A_OFF" 0
"519" 1 1 1 0.937 1 0.937 "GSM3293909" "IL6R_OFF" 0
"520" 1 1 1 0.917 1 0.916 "GSM3293909" "IL36R_OFF" 0
"521" 1 1 1 0.136 1 0.134 "GSM1315773" "IL17R_OFF" 0
"522" 1 1 1 0.998 1 0.998 "GSM1315773" "IL22R_OFF" 0
"523" 1 1 1 1 1 1 "GSM1315773" "IL1R1_OFF" 0
"524" 1 1 1 0.998 1 0.998 "GSM1315773" "IFNGR_OFF" 0
"525" 1 1 1 1 1 1 "GSM1315773" "IFNAR_OFF" 0
"526" 1 1 1 0 1 0 "GSM1315773" "TNFRSF1A_OFF" 0
"527" 1 1 1 0.998 1 0.998 "GSM1315773" "IL6R_OFF" 0
"528" 1 1 1 1 1 1 "GSM1315773" "IL36R_OFF" 0
"529" 1 1 1 0 1 0 "GSM1315648" "IL17R_OFF" 0
"530" 1 1 1 0.902 1 0.901 "GSM1315648" "IL22R_OFF" 0
"531" 1 1 1 0.892 1 0.892 "GSM1315648" "IL1R1_OFF" 0
"532" 1 1 1 0.915 1 0.918 "GSM1315648" "IFNGR_OFF" 0
"533" 1 1 1 0.903 1 0.903 "GSM1315648" "IFNAR_OFF" 0
"534" 1 1 1 0 1 0 "GSM1315648" "TNFRSF1A_OFF" 0
"535" 1 1 1 0.912 1 0.909 "GSM1315648" "IL6R_OFF" 0
"536" 1 1 1 0.903 1 0.903 "GSM1315648" "IL36R_OFF" 0
"537" 1 1 1 0 0.708 0 "GSM1315737" "IL17R_OFF" 0
"538" 1 1 1 0.968 0.722 0.962 "GSM1315737" "IL22R_OFF" 0
"539" 1 1 1 0.967 0.697722 0.96 "GSM1315737" "IL1R1_OFF" 0
"540" 1 1 1 0.961 0.727 0.96 "GSM1315737" "IFNGR_OFF" 0
"541" 1 1 1 0.96 0.723722 0.956 "GSM1315737" "IFNAR_OFF" 0
"542" 1 1 1 0 0.713 0 "GSM1315737" "TNFRSF1A_OFF" 0
"543" 1 1 1 0.963 0.722 0.963 "GSM1315737" "IL6R_OFF" 0
"544" 1 1 1 0.96 0.723722 0.956 "GSM1315737" "IL36R_OFF" 0
"545" 1 1 1 0 1 0 "GSM1315749" "IL17R_OFF" 0
"546" 1 1 1 1 1 0.999 "GSM1315749" "IL22R_OFF" 0
"547" 1 1 1 0.998 1 0.998 "GSM1315749" "IL1R1_OFF" 0
"548" 1 1 1 0.999 1 0.999 "GSM1315749" "IFNGR_OFF" 0
"549" 1 1 1 0.996 1 0.996 "GSM1315749" "IFNAR_OFF" 0
"550" 1 1 1 0 1 0 "GSM1315749" "TNFRSF1A_OFF" 0
"551" 1 1 1 0.998 1 0.998 "GSM1315749" "IL6R_OFF" 0
"552" 1 1 1 0.996 1 0.996 "GSM1315749" "IL36R_OFF" 0
"553" 1 1 1 0.129 1 0.128 "GSM1561618" "IL17R_OFF" 0
"554" 1 1 1 0.574 1 0.578 "GSM1561618" "IL22R_OFF" 0
"555" 1 1 1 0.594 1 0.593 "GSM1561618" "IL1R1_OFF" 0
"556" 1 1 1 0.578 1 0.579 "GSM1561618" "IFNGR_OFF" 0
"557" 1 1 1 0.585125 1 0.586 "GSM1561618" "IFNAR_OFF" 0
"558" 1 1 1 0.004 1 0.004 "GSM1561618" "TNFRSF1A_OFF" 0
"559" 1 1 1 0.613 1 0.615 "GSM1561618" "IL6R_OFF" 0
"560" 1 1 1 0.585125 1 0.586 "GSM1561618" "IL36R_OFF" 0
"561" 1 1 1 0.017 1 0.018 "GSM1315771" "IL17R_OFF" 0
"562" 1 1 1 0.963 1 0.96 "GSM1315771" "IL22R_OFF" 0
"563" 1 1 1 0.962 1 0.962 "GSM1315771" "IL1R1_OFF" 0
"564" 1 1 1 0.952 1 0.954 "GSM1315771" "IFNGR_OFF" 0
"565" 1 1 1 0.95 1 0.952 "GSM1315771" "IFNAR_OFF" 0
"566" 1 1 1 0.002 1 0.003 "GSM1315771" "TNFRSF1A_OFF" 0
"567" 1 1 1 0.97 1 0.969 "GSM1315771" "IL6R_OFF" 0
"568" 1 1 1 0.95 1 0.952 "GSM1315771" "IL36R_OFF" 0
"569" 1 1 1 0.007 1 0.006 "GSM1315637" "IL17R_OFF" 0.001
"570" 1 1 1 0.701 1 0.286 "GSM1315637" "IL22R_OFF" 0.003
"571" 1 1 1 0.717 1 0.29 "GSM1315637" "IL1R1_OFF" 0
"572" 1 1 1 0.734 1 0.262 "GSM1315637" "IFNGR_OFF" 0.001
"573" 1 1 1 0.706 1 0.304 "GSM1315637" "IFNAR_OFF" 0
"574" 1 1 1 0.111 0.999 0.055 "GSM1315637" "TNFRSF1A_OFF" 0
"575" 1 1 1 0.714 0.999 0.303 "GSM1315637" "IL6R_OFF" 0.002
"576" 1 1 1 0.706 1 0.304 "GSM1315637" "IL36R_OFF" 0
"577" 1 1 1 0 1 0 "GSM1315747" "IL17R_OFF" 0
"578" 1 1 1 1 1 1 "GSM1315747" "IL22R_OFF" 0
"579" 1 1 1 1 1 1 "GSM1315747" "IL1R1_OFF" 0
"580" 1 1 1 1 1 1 "GSM1315747" "IFNGR_OFF" 0
"581" 1 1 1 1 1 1 "GSM1315747" "IFNAR_OFF" 0
"582" 1 1 1 0 1 0 "GSM1315747" "TNFRSF1A_OFF" 0
"583" 1 1 1 1 1 1 "GSM1315747" "IL6R_OFF" 0
"584" 1 1 1 1 1 1 "GSM1315747" "IL36R_OFF" 0
"585" 1 1 1 0 0.941 0 "GSM1315634" "IL17R_OFF" 0
"586" 1 1 1 0.992 0.946 0.991 "GSM1315634" "IL22R_OFF" 0
"587" 1 1 1 0.997 0.949 0.998 "GSM1315634" "IL1R1_OFF" 0
"588" 1 1 1 0.992 0.955 0.992 "GSM1315634" "IFNGR_OFF" 0
"589" 1 1 1 0.999 0.938 0.999 "GSM1315634" "IFNAR_OFF" 0
"590" 1 1 1 0 0.942 0 "GSM1315634" "TNFRSF1A_OFF" 0
"591" 1 1 1 0.997 0.933 0.997 "GSM1315634" "IL6R_OFF" 0
"592" 1 1 1 0.999 0.938 0.999 "GSM1315634" "IL36R_OFF" 0
"593" 1 1 1 0 1 0 "GSM1656060" "IL17R_OFF" 0
"594" 1 1 1 1 1 1 "GSM1656060" "IL22R_OFF" 0
"595" 1 1 1 1 1 1 "GSM1656060" "IL1R1_OFF" 0
"596" 1 1 1 1 1 1 "GSM1656060" "IFNGR_OFF" 0
"597" 1 1 1 1 1 1 "GSM1656060" "IFNAR_OFF" 0
"598" 1 1 1 0.001 1 0.001 "GSM1656060" "TNFRSF1A_OFF" 0
"599" 1 1 1 1 1 1 "GSM1656060" "IL6R_OFF" 0
"600" 1 1 1 1 1 1 "GSM1656060" "IL36R_OFF" 0
"601" 1 0.818 1 0.001 0.881 0 "GSM2211694" "IL17R_OFF" 0
"602" 1 0.93 1 0.383 0.891 0.103 "GSM2211694" "IL22R_OFF" 0
"603" 1 0.924 1 0.397 0.902 0.111 "GSM2211694" "IL1R1_OFF" 0
"604" 1 0.928 0.92 0.395 0.873 0.099 "GSM2211694" "IFNGR_OFF" 0.001
"605" 1 0.925 1 0.398 0.895 0.113 "GSM2211694" "IFNAR_OFF" 0
"606" 1 0.925 1 0 0.880653 0 "GSM2211694" "TNFRSF1A_OFF" 0
"607" 1 0.935 0.999 0.391 0.862 0.119 "GSM2211694" "IL6R_OFF" 0
"608" 1 0.925 1 0.398 0.895 0.113 "GSM2211694" "IL36R_OFF" 0
"609" 1 1 1 0.018 1 0.017 "GSM1315766" "IL17R_OFF" 0
"610" 1 1 1 0.972 1 0.97 "GSM1315766" "IL22R_OFF" 0
"611" 1 1 1 0.972 1 0.973 "GSM1315766" "IL1R1_OFF" 0
"612" 1 1 1 0.974 0.999 0.974 "GSM1315766" "IFNGR_OFF" 0
"613" 1 1 1 0.967 1 0.967 "GSM1315766" "IFNAR_OFF" 0
"614" 1 1 1 0 1 0 "GSM1315766" "TNFRSF1A_OFF" 0
"615" 1 1 1 0.96 1 0.96 "GSM1315766" "IL6R_OFF" 0
"616" 1 1 1 0.967 1 0.967 "GSM1315766" "IL36R_OFF" 0
"617" 1 1 1 0.024 1 0.024 "GSM1561641" "IL17R_OFF" 0.119
"618" 1 1 1 0.463 1 0.464 "GSM1561641" "IL22R_OFF" 0.106
"619" 1 1 1 0.49 1 0.489 "GSM1561641" "IL1R1_OFF" 0.108
"620" 1 1 1 0.506 0.989 0.502 "GSM1561641" "IFNGR_OFF" 0.103
"621" 1 1 1 0.492 1 0.49 "GSM1561641" "IFNAR_OFF" 0.102
"622" 1 1 1 0 1 0 "GSM1561641" "TNFRSF1A_OFF" 0.101
"623" 1 1 1 0.486 1 0.491 "GSM1561641" "IL6R_OFF" 0.094
"624" 1 1 1 0.492 1 0.49 "GSM1561641" "IL36R_OFF" 0.102
"625" 1 1 1 0.088 1 0.043 "GSM1656052" "IL17R_OFF" 0.004
"626" 1 1 1 0.525 1 0.217 "GSM1656052" "IL22R_OFF" 0.001
"627" 1 1 1 0.517 1 0.214 "GSM1656052" "IL1R1_OFF" 0.004
"628" 1 1 1 0.528 1 0.231 "GSM1656052" "IFNGR_OFF" 0.004
"629" 1 1 1 0.511 1 0.211 "GSM1656052" "IFNAR_OFF" 0.006
"630" 1 1 1 0 1 0 "GSM1656052" "TNFRSF1A_OFF" 0
"631" 1 1 1 0.539 1 0.232 "GSM1656052" "IL6R_OFF" 0.004
"632" 1 1 1 0.511 1 0.211 "GSM1656052" "IL36R_OFF" 0.006
"633" 1 1 1 0.02 1 0.02 "GSM1315769" "IL17R_OFF" 0
"634" 1 1 1 0.974 1 0.973 "GSM1315769" "IL22R_OFF" 0
"635" 1 1 1 0.977 1 0.978 "GSM1315769" "IL1R1_OFF" 0
"636" 1 1 1 0.978 1 0.979 "GSM1315769" "IFNGR_OFF" 0
"637" 1 1 1 0.971 1 0.972 "GSM1315769" "IFNAR_OFF" 0
"638" 1 1 1 0.002 1 0.002 "GSM1315769" "TNFRSF1A_OFF" 0
"639" 1 1 1 0.98 1 0.98 "GSM1315769" "IL6R_OFF" 0
"640" 1 1 1 0.971 1 0.972 "GSM1315769" "IL36R_OFF" 0
"641" 1 1 1 0 1 0 "GSM1315662" "IL17R_OFF" 0
"642" 1 1 1 1 1 1 "GSM1315662" "IL22R_OFF" 0
"643" 1 1 1 1 1 1 "GSM1315662" "IL1R1_OFF" 0
"644" 1 1 1 1 1 1 "GSM1315662" "IFNGR_OFF" 0
"645" 1 1 1 1 1 1 "GSM1315662" "IFNAR_OFF" 0
"646" 1 1 1 0 1 0 "GSM1315662" "TNFRSF1A_OFF" 0
"647" 1 1 1 0.999 1 0.999 "GSM1315662" "IL6R_OFF" 0
"648" 1 1 1 1 1 1 "GSM1315662" "IL36R_OFF" 0
"649" 1 1 1 0 1 0 "GSM1315661" "IL17R_OFF" 0
"650" 1 1 1 1 1 1 "GSM1315661" "IL22R_OFF" 0
"651" 1 1 1 1 1 1 "GSM1315661" "IL1R1_OFF" 0
"652" 1 1 1 1 1 1 "GSM1315661" "IFNGR_OFF" 0
"653" 1 1 1 1 1 1 "GSM1315661" "IFNAR_OFF" 0
"654" 1 1 1 0 1 0 "GSM1315661" "TNFRSF1A_OFF" 0
"655" 1 1 1 1 1 1 "GSM1315661" "IL6R_OFF" 0
"656" 1 1 1 1 1 1 "GSM1315661" "IL36R_OFF" 0
"657" 1 1 1 0 1 0 "GSM2882406" "IL17R_OFF" 0
"658" 1 1 1 0.132 1 0.131 "GSM2882406" "IL22R_OFF" 0
"659" 1 1 1 0.103 1 0.101 "GSM2882406" "IL1R1_OFF" 0
"660" 1 1 1 0.136 1 0.135 "GSM2882406" "IFNGR_OFF" 0
