	GSM1023434	GSM1023435	GSM1023436	GSM1023437	GSM1023438	GSM1023439
ENSG00000100418.8	28.3997277832132	31.4340114952358	37.7162854016696	25.8177851290117	53.6517289270054	48.8378545147163
ENSG00000196419.12	73.220151251507	88.9515644439653	85.4490269264055	83.7268358856735	115.314801992432	112.702741187807
ENSG00000100138.15	47.2431490611746	67.6611524028658	71.7227722392405	49.7052685661347	84.6046494618162	65.2423646209416
ENSG00000184208.11	84.9299916170973	100.544249534407	116.982314721244	107.37303161131	129.516730237816	94.5450773297714
ENSG00000184068.2	5.78762224965956	9.47479069891861	5.68835779828459	5.79090507566618	7.76857613422702	10.1432467069026
ENSG00000198911.12	46.1663821310054	54.7308498019887	59.8514168341248	40.6569793854063	75.136697298227	84.0261548189094
ENSG00000159958.6	1.34595866271153	1.78349001391409	1.7312393299127	2.17158940337482	1.21384002097297	3.88198330758002
ENSG00000100167.20	3.49949252304997	1.56055376217483	9.27449641024661	6.03219278715227	6.06920010486486	8.76576875905165
ENSG00000183066.14	3.49949252304997	3.90138440543707	1.85489928204932	1.44772626891654	1.33522402307027	1.12702741187807
ENSG00000198951.11	20.5931675394864	15.7170057476179	26.3395698051004	20.2681677648316	20.7566643586378	29.5531632448027
ENSG00000177096.9	8.47953957508262	3.45551190195855	12.8606350222086	3.73995952803441	5.46228009437837	7.76396661516003
ENSG00000183172.8	9.9600941040653	7.69130068500451	11.2530556444326	7.72120676755491	7.88996013632432	14.2756805504555
ENSG00000184983.10	30.014878178467	32.3257565021929	23.1244110495482	39.6918285394619	46.975608811654	31.556767532586
ENSG00000270083.1	3.36489665677882	1.33761751043557	1.60757937777608	1.44772626891654	2.91321605033513	2.37928009174259
ENSG00000237037.9	1.34595866271153	2.22936251739261	2.72051894700567	1.20643855743045	1.82076003145946	3.38108223563421
ENSG00000213790.2	15.2093328886403	15.2711332441394	14.9628542085312	16.2869205253111	18.5717523208865	19.4099165379001
ENSG00000100207.18	65.4135910077802	93.856161982229	111.417616875096	70.3353678981955	103.661937791092	111.826164311902
ENSG00000189306.11	4.17247185440573	3.00963939848003	6.67763741537756	2.89545253783309	4.3698240755027	6.76216447126842
ENSG00000182841.12	5.51843051711726	6.79955567804747	9.64547626665648	6.51476821012445	6.67612011535135	8.01441715113294
